paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Source Material::Extracted Value,RHA Processing Method::Extracted Value,RHA Processing Parameters::Extracted Value,Activation Method::Extracted Value,Activation Parameters::Extracted Value,Carbonation Conditions::Extracted Value,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Duration::Extracted Value,Mechanical Activation Method::Extracted Value,Grinding Duration::Extracted Value,Grinding Speed::Extracted Value,Other Activation Conditions::Extracted Value,Water-to-Binder Ratio (w/b)::Extracted Value,Particle Size Distribution::Extracted Value,d10::Extracted Value,d50::Extracted Value,d90::Extracted Value,Mean Particle Size::Extracted Value,Specific Surface Area::Extracted Value,BET Surface Area::Extracted Value,Blaine Fineness::Extracted Value,Water Absorption Capacity::Extracted Value,Specific Gravity::Extracted Value,Bulk Density::Extracted Value,SiO2::Extracted Value,CaO::Extracted Value,Al2O3::Extracted Value,Fe2O3::Extracted Value,MgO::Extracted Value,SO3::Extracted Value,Na2O::Extracted Value,K2O::Extracted Value,Loss on Ignition (LOI)::Extracted Value,Other Reported Oxides::Extracted Value,XRD Phases::Extracted Value,Mineral Composition::Extracted Value,Amorphous Content::Extracted Value,Pozzolanic Reactivity::Extracted Value,Pozzolanic Activity Index::Extracted Value,Strength Activity Index::Extracted Value,Heat Release Data::Extracted Value,Other Reactivity Indicators::Extracted Value,Cement Replacement Level(s)::Extracted Value,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Extracted Value,Compressive Strength::Extracted Value,Relative Compressive Strength (% of control if reported)::Extracted Value,7-Day Heat Release::Extracted Value,Relative Heat Release (% of control if reported)::Extracted Value,Initial Setting Time::Extracted Value,Final Setting Time::Extracted Value,Flexural Strength::Extracted Value,Relative Flexural Strength (% of control if reported)::Extracted Value,Shrinkage::Extracted Value,Relative Shrinkage (% of control if reported)::Extracted Value,Material Type::Unit,Source Material::Unit,RHA Processing Method::Unit,RHA Processing Parameters::Unit,Activation Method::Unit,Activation Parameters::Unit,Carbonation Conditions::Unit,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Unit,Mechanical Activation Method::Unit,Grinding Duration::Unit,Grinding Speed::Unit,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Unit,d10::Unit,d50::Unit,d90::Unit,Mean Particle Size::Unit,Specific Surface Area::Unit,BET Surface Area::Unit,Blaine Fineness::Unit,Water Absorption Capacity::Unit,Specific Gravity::Unit,Bulk Density::Unit,SiO2::Unit,CaO::Unit,Al2O3::Unit,Fe2O3::Unit,MgO::Unit,SO3::Unit,Na2O::Unit,K2O::Unit,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Unit,XRD Phases::Unit,Mineral Composition::Unit,Amorphous Content::Unit,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Unit,Strength Activity Index::Unit,Heat Release Data::Unit,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Unit,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Unit,Final Setting Time::Unit,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Unit
50,OPTIMIZED PREPARATION OF RICE HUSK ASH (RHA) AS A SUPPLEMENTARY CEMENTITIOUS MATERIAL,"Carmela Denise Isberto, Krystoffer Lloyd Labra, Jan Marielle B. Landicho and Richard De Jesus",International Journal of GEOMATE,2019,https://doi.org/10.21660/2019.57.4628,Rice Husk Ash (RHA),Rice Husk (RH),Controlled burning in a custom-built muffle furnace and grinding using a Los Angeles machine,12kgs of RH loaded per batch; 20% recovered as RHA; RH laid flat 2-3cm thick on 28 ceramic hearth plates,Thermal treatment (controlled combustion) and Mechanical activation (grinding),Free air supply through 4 holes during burning; slow cooling for 6-8 hours with furnace door ajar,,400 - 600,10,Ball milling using a Los Angeles machine,2 (also 1 hour investigated),36,"2.4kgs RHA placed into LA machine per batch; 12 pieces of 2"" steel balls used",,84.78% passing through sieve no. 325 (for 2 hrs grinding); 70.85% (for 1 hr grinding),,,,,,,365 (for 2 hrs grinding); 286.3 (for 1 hr grinding),,,,93.47,0.87,0.92,1.08,3.18,,,,,Titanium oxide (TiO2): 0.04,Amorphous,,Mainly amorphous,High pozzolanic activity,,,,Reacts with Ca(OH)2 to form C-S-H gel (SiO2 + 3Ca(OH)2 + H2O ? 2CaO·1.5SiO3.5·2H2O),"0, 5, 10, 15, 20",10,"0RHA: 32.808 (7d), 40.228 (28d); 5RHA: 31.192 (7d), 35.48 (28d); 10RHA: 33.972 (7d), 52.768 (28d); 15RHA: 24.448 (7d), 35.576 (28d); 20RHA: 20.184 (7d), 13.128 (28d)",,,,,,,,,,,,,,,,,°C,hours,,hours,rpm,,,%,,,,,,,m2/kg,,,,%,%,%,%,%,,,,,%,,,,,,,,,%,%,MPa,,,,,,,,,
51,Rice husk ash as a sustainable supplementary cementitious material for improved concrete properties,"Nsesheye Susan Msinjili, Wolfram Schmidt, Andreas Rogge & Hans-Carsten Kühne","African Journal of Science, Technology, Innovation and Development",2019,10.1080/20421338.2018.1513895,Rice husk ash (RHA),Rice husks,Incineration and grinding,"Incineration temperature: 650, Duration: 90, Target particle size: 30",Thermal treatment and mechanical grinding,"Incineration temperature: 650 °C, Duration: 90 min",,650,90,Grinding,,,,0.5,~30,,,,~30,9040,,,,2.31,,88.84,1.78,0.80,0.39,0.92,0.35,1.10,2.80,2.02,"TiO2: 0.04, P2O5: 0.61",,Amorphous silica,High as 90,Pozzolanic properties,,,,Reactive silica,"10, 15, 20, 25, 30 (Preliminary); 10, 15 (Main Study)",15,7-day: 44.2 - 52.7; 28-day: 51.7 - 65.2; 90-day: 56.1 - 71.3,GRAPH-DERIVED,,,,,,,,,,,,"°C, min, µm",,"°C, min",,°C,min,,,,,,µm,,,,µm,cm²/g,,,,g/cm³,,%,%,%,%,%,%,%,%,%,%,,,%,,,,,,% by weight,% by weight,MPa,%,,,,,,,,
52,Optimization of mechanical properties of rice husk ash concrete using Scheffes theory,"Imoh Christopher Attah, Roland Kufre Etim, George Uwadiegwu Alaneme, Okon Bassey Bassey",SN Applied Sciences,2020,https://doi.org/10.1007/s42452-020-2727-y,Rice Husk Ash (RHA),Rice husk,Burning,,,,,,,,,,,,,,,,,,,,,2.10,,75.30,2.95,1.4,1.98,2.1,,0.98,5.55,5.61,,,,,Highly reactive pozzolana,,,,"Combined Al2O3, Fe2O3 and SiO2 content of 78.68%",,,"24.000, 27.350, 33.450, 21.000, 16.950, 31.500, 29.000, 27.850, 26.000, 26.550, 25.000, 23.500, 23.000, 19.250, 18.000, 29.000, 28.500, 26.950, 25.000, 24.150, 26.000, 25.850, 25.250, 24.000, 23.000, 23.650, 24.000, 24.950, 27.100, 27.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,%,%,%,,%,%,%,,,,,,,,,%,,,N/mm²,,,,,,,,,
53,Sustainable use of rice husk ash in cement-based materials: Environmental evaluation and performance improvement,"Lingling Hu, Zhen He, Shipeng Zhang",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.121744,Rice husk ash (RHA) / highly reactive rice husk ash,As-received rice husk from Mongolia Xing'an Rabbit (China),HCl acid pretreatment followed by combustion in a self-designed furnace and grinding,Soaking in 5 mol/L HCl for 7 days; combusted in furnace; ground in planetary mill for 20 min,Thermal treatment and mechanical grinding,600 °C for 2 h; ground for 20 min,,600,2,Grinding in planetary high energy pulverizing mill,20,,Acid pretreatment in 5 mol/L HCl solution for 7 days,0.5,"d10: ~1.8 µm, d50: ~5.0 µm, d90: ~11.0 µm",1.8,5.0,11.0,5.0,122.9,122.9,,,,,94.38,1.20,0.30,0.07,0.82,1.19,0.10,1.06,,,Amorphous SiO2,Amorphous silica,High / essentially amorphous,High pozzolanic activity,Lime-ash compressive strength: 14.5,,Heat flow peak: 4.1 µW/g; 5 d cumulative heat: 187 J/g,Ca(OH)2 consumption: 57.4% reduction at 1 d,"5, 10, 15",15,"Control: 3d = 40.5, 7d = 50.2, 28d = 69.8; 5%-RHA: 3d = 42.1, 7d = 51.5, 28d = 70.5; 10%-RHA: 3d = 43.8, 7d = 53.2, 28d = 73.1; 15%-RHA: 3d = 45.2, 7d = 55.0, 28d = 77.7",5%-RHA: 101.0%; 10%-RHA: 104.7%; 15%-RHA: 111.3% (at 28d),,,,,,,,,,,,,,,,°C,h,,min,,,,µm,µm,µm,µm,µm,m²/g,m²/g,,,,,wt.%,wt.%,wt.%,wt.%,wt.%,wt.%,wt.%,wt.%,,,,,,,MPa,,µW/g / J/g,%,%,%,MPa,%,,,,,,,,
54,Acid leached rice husk ash (ARHA) in concrete: A review,"Wai Hoe Kwan, Yong Seng Wong",Materials Science for Energy Technologies,2020,https://doi.org/10.1016/j.mset.2020.05.001,Acid leached rice husk ash (ARHA) / Acid treated rice husk ash,Rice husk (RH) / Paddy residues,Acid leaching followed by combustion / incineration,Combustion temperature: 500 °C to 1400 °C (controlled temperature range 600 °C~800 °C); Duration: 2 h,Acid leaching treatment,"Leaching agents: Hydrochloric acid (HCl), Nitric acid (HNO3), Sulfuric acid (H2SO4); Acid concentration: 0.01 M to 5 M (or 0.01 N to 1 N)",,500 °C - 1400 °C (Recommended secondary treatment < 700 °C; general controlled range 600 °C~800 °C),"0.5 h, 1 h, or 2 h",Grinding / milling (after combustion),,,Acid leaching duration: 0.5 h (30 min) to 1 h; Leaching temperature: boiled / 60 °C with constant stirring,,,,,,45,9.24,218 (at 600 °C); ~260,,,2.10,,"97.59 (0.5 h), 97.89 (1 h), 96.00, 99.58 (HCl), 99.08 (H2SO4)","0.22 (0.5 h), 0.27 (1 h), 0.20, 0.04 (HCl), 0.05 (H2SO4)","0.03 (0.5 h), 0.02 (1 h), 0.10, 0.02 (HCl), 0.61 (H2SO4)","0.11 (0.5 h), 0.16 (1 h), 0.20, 0.03 (HCl), 0.02 (H2SO4)","0.13 (0.5 h), 0.09 (1 h), <0.10, 0.02 (HCl), 0.04 (H2SO4)","0.01, 0.02 (HCl), 0.05 (H2SO4)","0.02 (0.5 h), 0.03 (1 h), 0.03","0.17 (0.5 h), 0.18 (1 h), 0.16, 0.02 (HCl), 0.02 (H2SO4)",2.31,"Cl: 0.02; P2O5: 0.08 (0.5 h), 0.13 (1 h), 0.18, 0.11 (HCl), 0.13 (H2SO4)",Amorphous silica (absence of crystalline peak between 22° and 38° 2?),Amorphous phase,98.5 to 99.5,High / Enhanced pozzolanic reactivity,,,Increases hydration heat of cement and shortens dormant period,Secondary calcium silicate hydrates (C-S-H) formation via reaction with Ca(OH)2,"5, 10, 15, 20, 30, 40",10 (or range of 5-15),"Mortar (10% ARHA): 3-day = 28.7, 7-day = 48.4, 28-day = 56.3; Concrete/Mixes (28-day): 5% ARHA = 43.10, 10% ARHA = 59.68, 15% ARHA = 54.55","Mortar (10% ARHA): 3-day = 131.05%, 7-day = 149.38%, 28-day = 143.26%; Mixes: RT-5-ALR = 94.08%, RT-10-ALR = 130.28%, RT-15-ALR = 119.08%",,,,,"10% ARHA: 3-day = 6.21, 7-day = 8.03, 28-day = 9.82, 91-day = 10.80","10% ARHA: 3-day = 120.35%, 7-day = 125.47%, 28-day = 121.23%, 91-day = 127.81%",,,,,,,,,,°C,h,,,,,,,,,,µm,m²/kg,m²/g / m²/kg,,,g/cm³,,%,%,%,%,%,%,%,%,%,%,,,%,,,,,,%,%,MPa,%,,,,,MPa,%,,
55,Utilizing Rice Husk Ash as Supplement to Cementitious Materials on Performance of Ultra High Performance Concrete: A review,"M.A. Mosaberpanah, S.A. Umar",Materials Today Sustainability,2020,https://doi.org/10.1016/j.mtsust.2019.100030,Rice Husk Ash (RHA),Rice husk / Rice kernel,Combustion / Incineration,Combusted at approximately 900°C inclined temperature,Mechanical activation (Grinding),"Grinding for 5 min, 30 min, and 120 min",,,,Grinding / Pulverization,"5, 30, 120",,Thermal treatment / Combustion under controlled furnace or atmospheric temperature,"0.18, 0.19",5 to 10,,,,"45 (or 8.61, 5.45, 6.95 for different grinding times; or 3.6, 5.6, 9.0)",20 to 270 (or up to 100),"2.765 (Raw), 6.388 (5 min), 19.558 (30 min), 7.546 (120 min)",,Specific pore volume of about 0.13,,,8095.9 (Table 5) / 81.483.0 (Table 4) / 8595 (Table 3),0.251.5 (Table 3) / 2.162.42 (Table 4) / 1.11.5 (Table 5),0.10.9 (Table 3) / 0.260.34 (Table 4) / 0.40.4 (Table 5),0.200.75 (Table 3) / 0.931.83 (Table 4) / 0.22.9 (Table 5),0.201.6 (Table 3) / 0.931.07 (Table 4) / 0.30.9 (Table 5),00.15 (Table 3) / 1.341.58 (Table 4) / 0.71.2 (Table 5),00.8 (Table 3) / 0.010.18 (Table 4) / 0.82.1 (Table 5),0.74.0 (Table 3) / 6.796.83 (Table 4) / 2.86.6 (Table 5),up to 12 (Table 5) / 3.133.14 (Table 4) / 2.365.14 (Table 3),"Alkalis (0.954.61%), Carbon (0.415.91%)",Amorphous SiO2,Silica (8090%),Up to 90 (or 9096),Reactive due to large surface area and high amorphous silica content,,,"Exothermal curve delayed, secondary exothermal peak increased",Secondary C-S-H gel formation with Ca(OH)2,"5% to 30% (general text); 10%, 20%, 30%, 40%, 50% (Table 6); 20% (Table 7 & Table 8)",10% (for compressive strength); 30% (for flexural and splitting tensile strength when substituting SF),>150 (up to >200),Increased up to 12% at 28 days and 18% at 91 days (for 20% replacement),,,Increases with RHA addition (or decreases depending on particle size),Decreases with an increase in RHA content,"38.5 (Normal curing), 41.7 (Steam curing)",12% to 44% increase under normal curing; 11% to 38% increase under steam curing,Reduced autogenous shrinkage,,,,,°C,,min,,,,,min,,,,µm,,,,µm,m²/g,m²/g,,cm³/g,,,%,%,%,%,%,%,%,%,%,%,,%,%,,,,,,%,%,MPa,%,,,,,MPa,%,,
56,Compressive Strength of Concrete using Fly Ash and Rice Husk Ash: A Review,Sam Joel,Civil Engineering Journal,2020,http://dx.doi.org/10.28991/cej-2020-03091556,Rice Husk Ash (RHA),Rice husk,Burning / Incineration,Burning temperature below 1440,,,,,,,,,,,,,,,,,,,,,,96.7; 86.0; 89.61; 87.4; 85.58; 97.5; 93.4; 90.0; 96.7,0.49; 1.26; 0.91; 0.9; 1.83; 0.18; 0.31; 1.10; 0.49,1.01; 5.12; 0.04; 0.4; 0.25; 0.73; 0.05; 0.46; 1.01,0.05; 1.12; 0.22; 0.3; 0.21; 1.18; 0.06; 0.43; 0.05,0.19; 0.48; 0.42; 0.6; 0.50; ND; 0.35; 0.77; 0.19,ND; 2.79; ND; 0.4; 0.26; 0.49; ND; ND; ND,0.16; 0.05; 0.07; 0.04; ND; 0.10; 0.1; ND; 0.26,0.91; 1.82; 1.58; 3.39; 3.39; 1.39; 1.4; 4.60; 0.91,4.81; ND; 5.91; 4.60; 6.99; ND; ND; 3.90; 4.81,"P2O5: ND; 0.48; ND; ND; 0.67; ND; 0.8; 2.43; ND
TiO2: ND; 0.17; ND; ND; ND; ND; ND; ND; 0.16",,,,Active pozzolanic material,,,,,"0, 5, 7.5, 10, 12.5, 15",7.5,"7 days: 27.8, 26.6, 28.3, 27.3, 26.2, 25.9
28 days: 41.70, 39.90, 42.45, 40.95, 39.30, 38.85",,,,,,,,,,,,,°C,,,,,,,,,,,,,,,,,,,,,,weight (%),weight (%),weight (%),weight (%),weight (%),weight (%),weight (%),weight (%),weight (%),weight (%),,,,,,,,,%,%,MPa,,,,,,,,,
57,Performance of Rice Husk Ash as Supplementary Cementitious Material after Production in the Field and in the Lab,"Mareike Thiedeitz, Wolfram Schmidt, Michelle Härder, Thomas Kränkel",Materials,2020,10.3390/ma13194319,Rice Husk Ash (RHA) / Rice husk ash,Rice husks,Uncontrolled combustion in a self-made furnace (field/rural) and controlled combustion in a muffle oven (laboratory),U1: Burnt with timber; U2: Burnt with charcoal; C450/C650: Burnt in muffle oven,Mechanical grinding,"Frequency: 15 Hz, 20 Hz, 25 Hz; Grinding time: 10 s, 20 s, 40 s",,U1: 500; U2: >800; C450: 450; C650: 650,U1: 3; U2: 3; C450: 0.5; C650: 0.5,Grinding in a ball mill,"10, 20, 40","15, 20, 25",Washed with pure water and sundried,0.5,RHA_f15: 1.050.0; RHA_f20: 0.8260.0; RHA_f25: 0.9200.0,,RHA_f15: 32.0; RHA_f20: 20.0; RHA_f25: 9.5,,,,128 (for RHA_f20),RHA_f15: 1920; RHA_f20: 2690; RHA_f25: 3880,,U1: 2.25; U2: 2.32; C450: 2.25; C650: 2.29,,U1: 93.78; U2: 93.90; C450: 93.15; C650: 94.97,U1: 2.07; U2: 0.84; C450: 0.60; C650: 0.83,U1: 0.48; U2: 0.20; C450: 0.36; C650: 0.97,U1: 0.72; U2: 0.43; C450: 0.26; C650: 0.58,U1: 0.52; U2: 0.37; C450: 0.37; C650: 0.57,,U1: 0.38; U2: 0.38; C450: 0.43; C650: 0.58,U1: 1.89; U2: 1.69; C450: 1.81; C650: 1.66,,Total Carbon (TC): U1: 0.88; U2: 0.56; C450: 0.66; C650: 0.59,"U1: Amorphous, Crystalline Quartz, Crystalline Sylvite, Crystalline Hydrophilite; U2: Amorphous, Crystalline Quartz, Crystalline Hydrophilite, Crystalline Hematite; C450: Amorphous, Crystalline Quartz, Crystalline Calcite; C650: Amorphous, Crystalline Quartz","Quartz, Sylvite, Hydrophilite, Hematite, Calcite",U1: >99.9; U2: >99.0; C450: >98.8; C650: >99.5,High reactivity,,,,"Percental cement reactivity reference lines (60%, 80%, 90%, 100%)","10%, 20%, 40%",20% (GRAPH-DERIVED),"28-day: 90CEM_10C450: ~61.5; 80CEM_20C450: ~59.5; 60CEM_40C450: ~64.5; 90CEM_10C650: ~57.5; 80CEM_20C650: ~59.0; 60CEM_40C650: ~48.0; 90CEM_10U1: ~58.0; 80CEM_20U1: ~56.0; 60CEM_40U1: ~52.5; 90CEM_10U2: ~53.0; 80CEM_20U2: ~52.5; 60CEM_40U2: ~50.0.
56-day: 90CEM_10C450: ~66.5; 80CEM_20C450: ~60.5; 60CEM_40C450: ~63.5; 90CEM_10C650: ~58.0; 80CEM_20C650: ~56.5; 60CEM_40C650: ~60.5; 90CEM_10U1: ~59.5; 80CEM_20U1: ~56.5; 60CEM_40U1: ~55.0; 90CEM_10U2: ~54.0; 80CEM_20U2: ~53.5; 60CEM_40U2: ~52.0 (GRAPH-DERIVED)","Reference lines given for 60%, 80%, 90%, 100% of control cement strength (100CEM control: 62.5 MPa at 28d, 69.0 MPa at 56d)",,,,,,,,,,,,,,"Hz, sec",,°C,h,,sec,Hz,,,µm,,µm,,,,m²/g,cm²/g,,g/cm³,,%,%,%,%,%,,%,%,,%,,,%,,,,,,,%,MPa,%,,,,,,,,
58,"Effect of particle size, porous structure and content of rice husk ash on the hydration process and compressive strength evolution of concrete","Amanda Pereira Vieira, Romildo Dias Toledo Filho, Luís Marcelo Tavares, Guilherme Chagas Cordeiro",Construction and Building Materials,2020,https://doi.org/10.1016/j.conbuildmat.2019.117553,Rice husk ash (RHA),Rice plant / Rice husk,Recalcination and Grinding,"Recalcination: 10°C/min heating rate, step 1 at 350°C for 3 h, step 2 at 600°C for 3 h; Grinding: Tumbling ball mill (300 rpm, 30 min) for RHA20; Vibratory mill (5 min) for RHA14; Vibratory mill (1 h) for RHA7",Thermal treatment and mechanical grinding,"Thermal: 350°C for 3 h then 600°C for 3 h; Mechanical: Tumbling ball mill for 30 min, Vibratory mill for 5 min or 1 h",,350 and 600,3 and 3,Tumbling ball mill; Vibratory mill,30 (RHA20); 5 (RHA14); 60 (RHA7),300,,0.36,D50 = 20 µm (RHA20); D50 = 14 µm (RHA14); D50 = 7 µm (RHA7),,20 (RHA20); 14 (RHA14); 7 (RHA7),,,"131,867 (Unground RHA); 106,811 (RHA20); 106,712 (RHA14); 92,042 (RHA7)","131,867 (Unground RHA); 106,811 (RHA20); 106,712 (RHA14); 92,042 (RHA7)",n.a.,,2.44,,89.85,0.79,4.79,0.86,,1.34,,1.38,0.53,P2O5: 0.22; MnO: 0.24,"Amorphous silica, Quartz",Quartz,88.4 (RHA20); 87.6 (RHA14); 85.4 (RHA7),High / Good pozzolanicity,,,Curves of specific heat rate (mW/g) over 72 h are reported in Fig. 6a-c,Electrical conductivity variation (?C): 2.92 (RHA20); 2.90 (RHA14); 2.78 (RHA7),"8, 10, 12",12 (at 91 days for coarse RHA / RHA20),"3 days: 55.51 (C-RHA7-8%), 54.46 (C-RHA7-12%), 50.47 (C-RHA20-8%), 52.17 (C-RHA20-12%), 50.9 (C-RHA14-10%)
7 days: 62.05 (C-RHA7-8%), 63.12 (C-RHA7-12%), 54.29 (C-RHA20-8%), 57.32 (C-RHA20-12%), 54.4 (C-RHA14-10%)
28 days: 67.68 (C-RHA7-8%), 67.70 (C-RHA7-12%), 62.53 (C-RHA20-8%), 61.01 (C-RHA20-12%), 57.98 (C-RHA14-10%)
91 days: 72.24 (C-RHA7-8%), 72.69 (C-RHA7-12%), 68.59 (C-RHA20-8%), 73.12 (C-RHA20-12%), 68.79 (C-RHA14-10%)",,,,,,,,,,,,,,,,,°C,h,,min,rpm,,,µm,,µm,,,m²/kg,m²/kg,,,g/cm³,,wt.%,wt.%,wt.%,wt.%,,wt.%,,wt.%,wt.%,wt.%,,,%,,,,mW/g,mS/cm,wt%,wt%,MPa,,,,,,,,,
59,"Eco-friendly high strength, high ductility engineered cementitious composites (ECC) with substitution of fly ash by rice husk ash","Zhigang Zhang, Fan Yang, Jin-Cheng Liu, Shuping Wang",Cement and Concrete Research,2020,10.1016/j.cemconres.2020.106200,Pulverized rice husk ash (RHA),Rice husk (protecting outer cover of paddy),Burning and ball milling,Ball milling speed: 300; Grinding duration: 5,Mechanical activation (grinding/ball milling),Ball mill speed: 300; Duration: 5,,,,Grinding / Ball milling,5,300,,0.2,,,,,,,,,,,2.0,Non-crystalline silicon dioxide (SiO2),,,,,,,,,,Cristobalite,Cristobalite,Non-crystalline / amorphous SiO2,High pozzolanic reactivity (superior to fly ash),,,"Hydration heat flow peak time: 19 (M-25, M-50), 27.6 (M-100); 72 h cumulative heat release: 125","CH / Portlandite consumption (weight loss at 440°C520°C): 0.85% (M-25), 0.94% (M-50), 0.58% (M-100) vs 0.93% (M-C)","Substitution ratio of fly ash by RHA: 0%, 25%, 50%, 100% by equal volume",50% replacement of fly ash by RHA (for 28-day compressive strength and ultimate tensile strength); 25% replacement of fly ash by RHA (for 3-day compressive strength and tensile strain capacity),"3-Day: M-C: 47.88, M-25: 68.78;
28-Day: M-C: 82.06, M-25: 98.08, M-50: 108.57, M-100: 97.24","3-Day: M-25: 144%, M-50: 132%, M-100: 129%;
28-Day: M-25: 120%, M-50: 132%, M-100: 118%",,,,,,,,,,,,rpm; min,,rpm; min,,,,,min,rpm,,,,,,,,,,,,,g/cm³,,,,,,,,,,,,,,,,,h; J/g,%,%,%,MPa,%,,,,,,,,
60,Assessment of strength properties of concrete made with rice husk ash,"RA.B. Depaa, V. Priyadarshini, A. Hemamalinie, J Francis Xavier, K Surendrababu",Materials Today: Proceedings,2021,10.1016/j.matpr.2020.12.605,Rice husk ash,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,47,,,,,,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,%,MPa,,,,,,MPa,,,
61,Strength performance of high-grade concrete using rice husk ash (RHA) as cement replacement material,"Kurrae Rajashekhar Reddy, M. Harihanandh, K. Murali",Materials Today: Proceedings,2021,10.1016/j.matpr.2021.04.332,Rice husk ash (RHA),Rice husk,Charring in a ferrocation oven or boilers with air pipes/electrical ventilators,"Burned at about 50°-800°C for 24 h, around 52°C after 24 h, and around 25°C after 48 h",,,,,,,,,,0.39,,,,,,,,,,2.3,,86.94,0.3 to 2.2,0.20,0.10,0.2 to 0.6,,0.1 to 0.8,2.15 to 2.30,,,,Non crystalline,,Highly pozzolonic,,,,,"0, 5, 7.5, 10, 12.5, 15",7.5,"42.2 (0% / 28 days), 38.45 (5% / 28 days), 43.45 (7.5% / 28 days), 40.9 (10% / 28 days), 39.6 (12.5% / 28 days), 38.6 (15% / 28 days), 28.2 (0% / 7 days), 27.5 (5% / 7 days), 28.5 (7.5% / 7 days), 27.9 (10% / 7 days), 26 (12.5% / 7 days), 25.6 (15% / 7 days)",3,,,,,"4.9 (0% / 28 days), 5.5 (5% / 28 days), 5 (7.5% / 28 days), 4.7 (10% / 28 days), 4.3 (12.5% / 28 days), 3.9 (15% / 28 days), 3.9 (0% / 7 days), 4.2 (5% / 7 days), 3.7 (7.5% / 7 days), 3.5 (10% / 7 days), 3.25 (12.5% / 7 days), 3.15 (15% / 7 days)",12,,,,,,"°C, h",,,,,,,,,,,,,,,,,,,,,,%,%,%,%,%,,%,%,,,,,,,,,,,%,%,N/mm²,%,,,,,N/mm²,%,,
62,State-of-the-art-review on rice husk ash: A supplementary cementitious material in concrete,"Ayesha Siddika, Md. Abdullah Al Mamun, Rayed Alyousef, Hossein Mohammadhosseini",Journal of King Saud University - Engineering Sciences,2021,https://doi.org/10.1016/j.jksues.2020.10.006,Rice husk ash (RHA),Rice husk / Rice husks,"Open field burning or controlled incineration, followed by separation/sieving and grinding",Incineration temperature: 500°C - 700°C / Yield: 2025% by weight of rice husk,"Thermal treatment (controlled incineration), Mechanical activation (grinding/milling), Acid-leaching pre-treatment","Incineration at 500°C-700°C, Mechanical grinding in vibratory mill for up to 360 min",,500°C-700°C (700°C-800°C also noted for controlled incineration),,Mechanical grinding / Vibratory milling,"8, 15, 30, 60, 90, 120, 180, 270, 360",,Acid-leaching pre-treatment,"0.25, 0.40, 0.50",>80% coarser than 100 µm (as-received); <45 µm passing fineness: 99%,,14 - 20,,"3.80, 5.8, 11.5, 18.3, 31.3, 63.8","36.47, 150","33,670",,,"2.06, 2.1, 2.11 (Typical range: 2.0 - 2.5)",180 - 200,77.19 - 94.0 (Typical: >85%),0.28 - 2.93,0.04 - 6.19,0.18 - 1.4,0.31 - 2.1,0.04 - 0.69,0.05 - 0.66,0.50 - 3.76,1.06 - 11.9,0.12 - 0.46,"Cristobalite, Sylvite, Amorphous silica","Amorphous silica, Cristobalite, Sylvite",85 - 95,High pozzolanic reactivity; drop in electrical conductivity in saturated Ca(OH)2 solution,"80, 88, 93, 97, 109, 110",>75,Accelerated hydration and increased heat evolution during C-S-H formation,Chapelle activity: 736,"5, 7, 10, 14, 15, 18, 20, 25, 30, 40, 50, 60, 100",10  30 (recommended general optimum: 20  30%),1.2  62.3,"Increment of 25% (7d), 33% (28d), 36% (56d) at 15% replacement over control; boosted by 414% using graded aggregates",,,"0  350 (Graph-derived: 0% RHA = 145 min, 30% RHA = 150 min)","232 (for 30% RHA), 300 (for 0% OPC control)",~4.5  8.5 (GRAPH-DERIVED from Fig. 10a),10  30 improvement,50  750 × 10?? (GRAPH-DERIVED from Fig. 8 strain values),Reduced relative to control up to 20% RHA; increased shrinkage beyond 20% RHA,,,,°C / %,,°C / min,,°C,,,min,,,,µm / %,,µm,,µm,m²/g,m²/kg,,,g/cm³,kg/m³,wt%,wt%,wt%,wt%,wt%,wt%,wt%,wt%,wt%,wt%,,,%,,%,%,,mg/g,%,%,N/mm² (or MPa),%,,,min,min,MPa,%,mm/mm (Microstrain),%
